file_name,google_drive_id
v3.36_regnety_006_4C_Dice_1_20m.pkl,1oCdklUkV4tzMQg-3Q3YyRsCxk_DJTKH1
v3.36_regnety_006_4C_Dice_2_20m.pkl,1E9KheRAYg24xyJAjrLJF9XCIQGjsrYrE
v3.36_regnety_006_4C_Dice_1_10m.pkl,1UxxoWP7KqWgwfE8Tu0HL54g-tEQokIIo
v3.36_regnety_006_4C_Dice_2_10m.pkl,1kwZVhreHfZZ4JUy5uIdYLTct-YWQdK4T
